16cd29e - MartinaTuri2025, 2026-02-22 : Update pagamento_torneo.php
07dc49e - vinny-4w, 2026-02-22 : Improve booking UI, validation and server checks
3def6eb - MartinaTuri2025, 2026-02-22 : Update mainpage.css
7078b55 - MartinaTuri2025, 2026-02-22 : Create The Bowler Club - Sketch.pdf
628e5f3 - MartinaTuri2025, 2026-02-21 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
15a306e - MartinaTuri2025, 2026-02-21 : Marameo
d885a8f - Essepelle, 2026-02-21 : Vincenzo è gay il wireflow non era finito manco per la mia cappella
4c47b9a - MartinaTuri2025, 2026-02-21 : Senza il sommo
932b45c - MartinaTuri2025, 2026-02-21 : Update mainpage.css
b1d3505 - MartinaTuri2025, 2026-02-21 : Ringrazio a gesu
dbdc8b6 - MartinaTuri2025, 2026-02-21 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
045dae1 - MartinaTuri2025, 2026-02-21 : Da ora inizio a modificare bene
12302f0 - vinny-4w, 2026-02-21 : Restrict Laser Game bookings and min players
5689cc9 - MartinaTuri2025, 2026-02-21 : inizio della fine
4802725 - MartinaTuri2025, 2026-02-21 : Update Create_DB.sql
f6091e4 - MartinaTuri2025, 2026-02-21 : Document DB connection and remove history file
b7729ce - MartinaTuri2025, 2026-02-21 : Update area_faq.css
4809905 - MartinaTuri2025, 2026-02-21 : Refactor FAQ area styles and logic
1092f80 - vinny-4w, 2026-02-21 : Simplify time-slot disabling for today
2062088 - vinny-4w, 2026-02-21 : Polish date-picker/grid CSS and tidy PHP
95eb16a - MartinaTuri2025, 2026-02-21 : Update prenotazioni.php
56cfb77 - MartinaTuri2025, 2026-02-21 : mancava il titolo css
9809957 - MartinaTuri2025, 2026-02-21 : Organizzazione e commenti cartella account
7bb565f - MartinaTuri2025, 2026-02-21 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
e06fcf9 - MartinaTuri2025, 2026-02-21 : Nome breve noia
64cbf36 - vinny-4w, 2026-02-21 : Fix header home link path in FAQ area
8127876 - MartinaTuri2025, 2026-02-21 : Solo nome
fd46022 - vinny-4w, 2026-02-21 : Add client-side validation for reviews
44b5cd1 - vinny-4w, 2026-02-21 : Aggiorna wireflow.drawio
019c51b - vinny-4w, 2026-02-21 : Aggiorna wireflow.drawio
ec07d0d - MartinaTuri2025, 2026-02-21 : Update elimina_account.php
4c23977 - MartinaTuri2025, 2026-02-21 : Update Create_DB.sql
e156fee - MartinaTuri2025, 2026-02-21 : database
b60b093 - MartinaTuri2025, 2026-02-21 : agg
2ace6e6 - MartinaTuri2025, 2026-02-21 : Merge branch 'main' of https://github.com/Essepelle/TecnologieWeb_Bowlers_G21
